,    1,    7840,   20060801, ARG, ARGH                , Texas               ,cf2006    
13407,53.0,3717.0,20060909.0, ARG, ARGH                , Kansas              ,cf2006    
13408,54.0,3484.0,20060909.0, ARG, ARGH                , Indiana             ,cf2006    
13409,55.0,8432.0,20060909.0, ARG, ARGH                , Virginia            ,cf2006    
13410,56.0,8099.0,20060909.0, ARG, ARGH                , Tulsa               ,cf2006    
13411,57.0,7365.0,20060909.0, ARG, ARGH                , Southern Miss       ,cf2006    
13412,58.0,5970.0,20060909.0, ARG, ARGH                , Oregon St           ,cf2006    
13413,59.0,1753.0,20060909.0, ARG, ARGH                , Colorado St         ,cf2006    
13414,60.0,1872.0,20060909.0, ARG, ARGH                , Connecticut         ,cf2006    
13415,61.0,3347.0,20060909.0, ARG, ARGH                , Houston             ,cf2006    
13416,62.0,294.0,20060909.0, ARG, ARGH                , Arizona             ,cf2006    
13417,63.0,5253.0,20060909.0, ARG, ARGH                , Navy                ,cf2006    
13418,64.0,66.0,20060909.0, ARG, ARGH                , Akron               ,cf2006    
13419,65.0,5704.0,20060909.0, ARG, ARGH                , Northwestern        ,cf2006    
13420,66.0,5825.0,20060909.0, ARG, ARGH                , Ohio                ,cf2006    
13421,67.0,557.0,20060909.0, ARG, ARGH                , Baylor              ,cf2006    
13422,68.0,7582.0,20060909.0, ARG, ARGH                , Stanford            ,cf2006    
13423,69.0,5634.0,20060909.0, ARG, ARGH                , N Illinois          ,cf2006    
13424,70.0,5492.0,20060909.0, ARG, ARGH                , North Carolina      ,cf2006    
13425,71.0,1529.0,20060909.0, ARG, ARGH                , Cincinnati          ,cf2006    
13426,72.0,87.0,20060909.0, ARG, ARGH                , UAB                 ,cf2006    
13427,73.0,7978.0,20060909.0, ARG, ARGH                , Toledo              ,cf2006    
13428,74.0,9162.0,20060909.0, ARG, ARGH                , Wyoming             ,cf2006    
13429,75.0,3425.0,20060909.0, ARG, ARGH                , Illinois            ,cf2006    
13430,76.0,3197.0,20060909.0, ARG, ARGH                , Hawaii              ,cf2006    
13431,77.0,8767.0,20060909.0, ARG, ARGH                , W Michigan          ,cf2006    
13432,78.0,1380.0,20060909.0, ARG, ARGH                , UCF                 ,cf2006    
13433,79.0,8551.0,20060909.0, ARG, ARGH                , Washington          ,cf2006    
13434,80.0,8367.0,20060909.0, ARG, ARGH                , Vanderbilt          ,cf2006    
13435,81.0,4636.0,20060909.0, ARG, ARGH                , Memphis             ,cf2006    
13436,82.0,1404.0,20060909.0, ARG, ARGH                , C Michigan          ,cf2006    
13437,83.0,4436.0,20060909.0, ARG, ARGH                , Marshall            ,cf2006    
13438,84.0,3781.0,20060909.0, ARG, ARGH                , Kentucky            ,cf2006    
13439,85.0,7002.0,20060909.0, ARG, ARGH                , San Diego St        ,cf2006    
13440,86.0,5316.0,20060909.0, ARG, ARGH                , Nevada              ,cf2006    
13441,87.0,501.0,20060909.0, ARG, ARGH                , Ball St             ,cf2006    
13442,88.0,821.0,20060909.0, ARG, ARGH                , Bowling Green       ,cf2006    
13443,89.0,55.0,20060909.0, ARG, ARGH                , Air Force           ,cf2006    
13444,90.0,4218.0,20060909.0, ARG, ARGH                , Louisiana Tech      ,cf2006    
13445,91.0,8068.0,20060909.0, ARG, ARGH                , Troy                ,cf2006    
13446,92.0,1715.0,20060909.0, ARG, ARGH                , Colorado            ,cf2006    
13447,93.0,4936.0,20060909.0, ARG, ARGH                , Mississippi St      ,cf2006    
13448,94.0,5371.0,20060909.0, ARG, ARGH                , New Mexico          ,cf2006    
13449,95.0,5323.0,20060909.0, ARG, ARGH                , UNLV                ,cf2006    
13450,96.0,2292.0,20060909.0, ARG, ARGH                , East Carolina       ,cf2006    
13451,97.0,4920.0,20060909.0, ARG, ARGH                , Mississippi         ,cf2006    
13452,98.0,356.0,20060909.0, ARG, ARGH                , Army                ,cf2006    
13453,99.0,5584.0,20060909.0, ARG, ARGH                , North Texas         ,cf2006    
