,      74,    1,   20120801, ARG, ARGH                , Alabama             ,cf2012    
10878,501.0,93.0,20120903.0, ARG, ARGH                , Ball St             ,cf2012    
10879,356.0,94.0,20120903.0, ARG, ARGH                , Army                ,cf2012    
10880,3484.0,95.0,20120903.0, ARG, ARGH                , Indiana             ,cf2012    
10881,5584.0,96.0,20120903.0, ARG, ARGH                , North Texas         ,cf2012    
10882,2776.0,97.0,20120903.0, ARG, ARGH                , Fresno St           ,cf2012    
10883,3717.0,98.0,20120903.0, ARG, ARGH                , Kansas              ,cf2012    
10884,55.0,99.0,20120903.0, ARG, ARGH                , Air Force           ,cf2012    
10885,7933.0,100.0,20120903.0, ARG, ARGH                , UTEP                ,cf2012    
10886,1715.0,101.0,20120903.0, ARG, ARGH                , Colorado            ,cf2012    
10887,8588.0,102.0,20120903.0, ARG, ARGH                , Washington St       ,cf2012    
10888,6535.0,103.0,20120903.0, ARG, ARGH                , Rice                ,cf2012    
10889,2353.0,104.0,20120903.0, ARG, ARGH                , E Michigan          ,cf2012    
10890,4200.0,105.0,20120903.0, ARG, ARGH                , ULM                 ,cf2012    
10891,8068.0,106.0,20120903.0, ARG, ARGH                , Troy                ,cf2012    
10892,3197.0,107.0,20120903.0, ARG, ARGH                , Hawaii              ,cf2012    
10893,7024.0,108.0,20120903.0, ARG, ARGH                , San Jose St         ,cf2012    
10894,7911.0,109.0,20120903.0, ARG, ARGH                , Texas St            ,cf2012    
10895,979.0,110.0,20120903.0, ARG, ARGH                , Buffalo             ,cf2012    
10896,1753.0,111.0,20120903.0, ARG, ARGH                , Colorado St         ,cf2012    
10897,5387.0,112.0,20120903.0, ARG, ARGH                , New Mexico St       ,cf2012    
10898,5323.0,113.0,20120903.0, ARG, ARGH                , UNLV                ,cf2012    
10899,2638.0,114.0,20120903.0, ARG, ARGH                , FL Atlantic         ,cf2012    
10900,7237.0,115.0,20120903.0, ARG, ARGH                , South Alabama       ,cf2012    
10901,7900.0,116.0,20120903.0, ARG, ARGH                , UT San Antonio      ,cf2012    
10902,5371.0,117.0,20120903.0, ARG, ARGH                , New Mexico          ,cf2012    
10903,8092.0,118.0,20120903.0, ARG, ARGH                , Tulane              ,cf2012    
10904,87.0,119.0,20120903.0, ARG, ARGH                , UAB                 ,cf2012    
10905,4785.0,120.0,20120903.0, ARG, ARGH                , MTSU                ,cf2012    
10906,3415.0,121.0,20120903.0, ARG, ARGH                , Idaho               ,cf2012    
10907,4636.0,122.0,20120903.0, ARG, ARGH                , Memphis             ,cf2012    
10908,4548.0,123.0,20120903.0, ARG, ARGH                , Massachusetts       ,cf2012    
10909,66.0,124.0,20120903.0, ARG, ARGH                , Akron               ,cf2012    
17280,74.0,1.0,20120908.0, ARG, ARGH                , Alabama             ,cf2012    
17281,4206.0,2.0,20120908.0, ARG, ARGH                , LSU                 ,cf2012    
17282,5886.0,3.0,20120908.0, ARG, ARGH                , Oklahoma            ,cf2012    
17283,8251.0,4.0,20120908.0, ARG, ARGH                , USC                 ,cf2012    
