,    1,    5850,   20080801, ARG, ARGH                , Ohio St             ,cf2008    
8083,110.0,87.0,20080901.0, ARG, ARGH                , UAB                 ,cf2008    
8084,111.0,1753.0,20080901.0, ARG, ARGH                , Colorado St         ,cf2008    
8085,112.0,4194.0,20080901.0, ARG, ARGH                , ULL                 ,cf2008    
8086,113.0,5634.0,20080901.0, ARG, ARGH                , N Illinois          ,cf2008    
8087,114.0,5584.0,20080901.0, ARG, ARGH                , North Texas         ,cf2008    
8088,115.0,3415.0,20080901.0, ARG, ARGH                , Idaho               ,cf2008    
8089,116.0,5387.0,20080901.0, ARG, ARGH                , New Mexico St       ,cf2008    
8090,117.0,8325.0,20080901.0, ARG, ARGH                , Utah St             ,cf2008    
8091,118.0,7358.0,20080901.0, ARG, ARGH                , SMU                 ,cf2008    
8092,119.0,2652.0,20080901.0, ARG, ARGH                , Florida Intl        ,cf2008    
8093,120.0,356.0,20080901.0, ARG, ARGH                , Army                ,cf2008    
13064,1.0,2625.0,20080906.0, ARG, ARGH                , Florida             ,cf2008    
13065,2.0,5850.0,20080906.0, ARG, ARGH                , Ohio St             ,cf2008    
13066,3.0,8251.0,20080906.0, ARG, ARGH                , USC                 ,cf2008    
13067,4.0,402.0,20080906.0, ARG, ARGH                , Auburn              ,cf2008    
13068,5.0,4206.0,20080906.0, ARG, ARGH                , LSU                 ,cf2008    
13069,6.0,2881.0,20080906.0, ARG, ARGH                , Georgia             ,cf2008    
13070,7.0,74.0,20080906.0, ARG, ARGH                , Alabama             ,cf2008    
13071,8.0,4948.0,20080906.0, ARG, ARGH                , Missouri            ,cf2008    
13072,9.0,1098.0,20080906.0, ARG, ARGH                , California          ,cf2008    
13073,10.0,5961.0,20080906.0, ARG, ARGH                , Oregon              ,cf2008    
13074,11.0,7840.0,20080906.0, ARG, ARGH                , Texas               ,cf2008    
13075,12.0,5886.0,20080906.0, ARG, ARGH                , Oklahoma            ,cf2008    
13076,13.0,7278.0,20080906.0, ARG, ARGH                , South Florida       ,cf2008    
13077,14.0,3717.0,20080906.0, ARG, ARGH                , Kansas              ,cf2008    
13078,15.0,304.0,20080906.0, ARG, ARGH                , Arizona St          ,cf2008    
13079,16.0,6114.0,20080906.0, ARG, ARGH                , Penn St             ,cf2008    
13080,17.0,891.0,20080906.0, ARG, ARGH                , BYU                 ,cf2008    
13081,18.0,8315.0,20080906.0, ARG, ARGH                , Utah                ,cf2008    
13082,19.0,9031.0,20080906.0, ARG, ARGH                , Wisconsin           ,cf2008    
13083,20.0,7242.0,20080906.0, ARG, ARGH                , South Carolina      ,cf2008    
13084,21.0,5912.0,20080906.0, ARG, ARGH                , Oklahoma St         ,cf2008    
13085,22.0,7801.0,20080906.0, ARG, ARGH                , Tennessee           ,cf2008    
13086,23.0,8508.0,20080906.0, ARG, ARGH                , Wake Forest         ,cf2008    
13087,24.0,7918.0,20080906.0, ARG, ARGH                , Texas Tech          ,cf2008    
13088,25.0,3781.0,20080906.0, ARG, ARGH                , Kentucky            ,cf2008    
13089,26.0,2292.0,20080906.0, ARG, ARGH                , East Carolina       ,cf2008    
13090,27.0,8459.0,20080906.0, ARG, ARGH                , Virginia Tech       ,cf2008    
13091,28.0,294.0,20080906.0, ARG, ARGH                , Arizona             ,cf2008    
13092,29.0,8716.0,20080906.0, ARG, ARGH                , West Virginia       ,cf2008    
13093,30.0,1603.0,20080906.0, ARG, ARGH                , Clemson             ,cf2008    
13094,31.0,2666.0,20080906.0, ARG, ARGH                , Florida St          ,cf2008    
